No,Intencao,Pergunta,Resposta
940,Gerenciamento de cadastro e documentos,Obrigada Gostaria de outra informação Pra enviar remessas pra empresa jurídica o que precisa?,"Bom dia, ! C#3249042 DADOS DO BENEFICIÁRIO  NOME COMPLETO: GRAU DE PARENTESCO: ENDEREÇO NO BRASIL: (Cidade e Estado apenas) CIDADE: ESTADO: TEL.DE CONTATO NO BRASIL: NOME DO BANCO: NÚMERO DA AGÊNCIA: NOME DA AGÊNCIA: (caso não tenha, deixar em branco NúMERO DA CONTA: TIPO DE CONTA(corrente ou poupança): NÚMERO DO CPF:"
941,Gerenciamento de cadastro e documentos,Bom dia como eu faço pra colocar o SSS beneficiário Pra enviar dinheiro no Brasil,"Bom dia, A senhora pode registrar beneficiário através do APP.  1. Clicar nas 3 linhas no canto esquerdo superior.  2.Beneficiários  3.Adicionar beneficiário.    Qualquer dúvida estamos à disposição. Obrigado."
942,Consultas sobre prazos,Boa tarde será que vcs consegue me informar Se meu cartão de remessa Já me enviaram e que até sábado tenho que enviar um dinheiro para o Brasil  Fiz na sexta feira,"Boa tarde, O cartão já saiu da Brastel. Ainda está dentro do prazo de entrega. Por gentileza aguardar mais um pouco."
943,Consultas e informações gerais,como Faso pra dinheiro pra brasil,"Boa tarde, O senhor já tem cadastro na Brastel Remit? Caso ainda não tenha, a inscrição deve ser feita através do aplicativo Brastel Remit. https://brastelremit.jp/24h/#/por/ Qualquer dúvida estamos à disposição. Obrigado."
944,Gerenciamento de cadastro e documentos,"por favor DADOS DO BENEFICIÁRIO  NOME COMPLETO: LLL  TTT  GRAU DE PARENTESCO: sobrinha ENDEREÇO NO BRASIL: Rua SSSS  nXX. CIDADE: AAAA ESTADO: BBBBB TEL.DE CONTATO NO BRASIL: xxxxxxxx NOME DO BANCO:Nubank NÚMERO DA AGÊNCIA:xxxxx NOME DA AGÊNCIA: (caso não tenha, deixar em branco NúMERO DA CONTA:xxxxx-a TIPO DE CONTA: corrente NÚMERO DO CPF: xxxxxxxxxxx",Por favor registre o beneficiário através do aplicativo. Menu > Beneficiários > Adicionar beneficiário > Digite as informações do beneficiário
945,Consultas e informações gerais,Como posso me inscrever no serviço de remessa?,"Bom dia!  Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você terá independência para fazer a remessa por conta própria e a qualquer horário https://brastelremit.jp/por/24h"
946,Consultas e informações gerais,Como enviar dinheiro do Japão?,"Bom dia!  Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você terá independência para fazer a remessa por conta própria e a qualquer horário https://brastelremit.jp/por/24h"
947,,Boa noite será que posso fazer transferência do banco shizuoka para a Brastel ?,"Bom dia, Sim, a senhora consegue fazer transferência pelo banco Shizuoka. Acesse em seu aplicativo: Menu > Instruções de depósito > Transferência bancária > Outos bancos. E siga o passo a passo."
948,,Bom dia Meu zayro acabou de expirar mas já entrei com o processo junto a imigração a mais de um mês mas devido aos terremotos eles alegaram que os computadores tiveram problemas Estou com o carimbo do aplication O protocolo ele nos deu somente no nome da minha esposa          ,"Por favor,aguarde. Departamento responsavel esta checando as fotos enviadas."
949,,         ,Seu endereço foi atualizado com sucesso. Você pode solicitar o cartão amarelo pelo app.
950,Consultas e informações gerais,Bom dia por favor gostaria de saber qual o valor da remessa para o Brasil,"Boa tarde,  TAXAS DE REMESSAS: Remessas até ¥30.000 taxa ¥880 De ¥30.001~¥300.000 taxa ¥1.480 De ¥300.001~¥800.000 taxa ¥1.680 Qualquer dúvida estamos à disposição. Obrigado."
951,Consultas e informações gerais,Obg por informação. por favor informe-me o total que posso enviar por mês para o Brasil?,"Olá, !  O limite por remessa: 800.00 ienes Limite diário: 1.000.000 ienes ; Valor máximo de remessa por mês: ¥5.000.00 Qualquer dúvida estamos à disposição. Obrigado."
952,,Mão uma pergunta: da para eu fazer o depósito a partir da minha conta do correio usando o cartão de depósito da minha esposa?,"Para fazer a transferência a partir da sua conta do correio, você deve utilizar apenas o cartão de sua própria conta bancária."
953,,Boa tarde tudo bem se puder botar no aplicativo para mim a remessa aí fico agradecido aí ta o comprovante  Obrigado    ,"Boa tarde, Sua remessa está em processamento. Depósitos com o cartão laranja da brastel , demora alguns minutos para entrar no saldo do aplicativo. Qualquer dúvida estamos à disposição. Obrigado."
954,Transações e envios,        Depósito feito,"Boa tarde. Por gentileza, aguarde alguns minutos. Estamos processando a transferencia para o saldo do seu app. Muito obrigada e otimo fim de semana."
955,,Posso mandar a foto do cartao de registro de estrangeiros card atual?      ,"Boa tarde! Sim, por favor! Seu cadastro foi atualizado. Muito obrigado."
956,Consultas e informações gerais,Oi queria Saber ate qto pode mandar na remessa em dinheiro,"O limite por transação: 800.000 ienes Limite diário: 1.000.000 ienes Até 30 transações por mês.  Nota: Dependendo da soma total dos valores enviados, o departamento responsável poderá solicitar documentos adicionais. Caso isso seja necessário, entraremos em contato com o cliente."
957,Consultas sobre prazos,Bom dia sabe informar se meu cartão já foi enviado pro meu endereço falou 4 dia até agora nada tem algum número que eu possa liga pra fala com alguém ver oque stâ acontecendo tô precisando enviar dinheiro rápido,"Boa tarde! Verificamos no sistema que o cartão foi solicitado no dia 21/05. Ele demora de 3 a 4 dias úteis para chegar no endereço, então pedimos por gentileza que aguarde pelo menos até segunda-feira."
958,Consultas e informações gerais,Como posso me inscrever no serviço de remessa?,"Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você terá independência para fazer a remessa por conta própria e a qualquer horário https://brastelremit.jp/por/24h "
959,Consultas sobre prazos,Quanto tempo levará para o beneficiário receber o dinheiro?,"Via de regra, as remessas serão pagas via PIX dentro de algumas horas, se todos os dados estiverem corretos."
960,Consultas e informações gerais,"Olá, tudo bem? Vocês enviam dinheiro do Japão para a Coreia do Sul?","Olá, tudo bem? Vocês enviam dinheiro do Japão para a Coreia do Sul?"
961,,Olá td bem ? para fazer a transferência preciso do cartão da Brastel?,"Plantão Especial Bom dia Você poderá colocar o valor da remessa no saldo do seu aplicativo por meio do cartão de depósito ou então com seu cartão do banco, ambos passo a passo estão no app.  Para depositar por transferência bancária (cartão do banco do correio), segue o passo a passo: 1. Clicar nas 3 linhas no canto esquerdo do App da Brastel 2. Instruções de depósito 3. Transferência bancária (conta no correio). 4. Selecionar o ATM 5. Seguir o passo a passo, exatamente como está no App."
962,,Quero envia dinheiro para o Brasil me ajude,"Plantão Especial Bom dia Como posso ajudar? A sua conta está inativa,porque o zairyu card registrado expirou. Por favor,poderia enviar as fotos de frente e verso do Zairyu card atualizado?"
963,,Ola bom dia Sobreminhs remessa feita ontem as 12:00 horas Ainda nao chegou Aconteceu algo ?,"Bom dia A sua remessa esta processando. Enviamos uma mensagem ao nosso correspondente no Brasil, para verificar se houve"
964,,"Olá bom dia, fiz a solicitação de uma remessa para o Brasil e ainda não recebi o depósito do valor","Bom dia, Não recebemos a confirmação do banco. Vamos enviar um pedido de verificação. Devido ao fuso horário, pedimos por gentileza que aguarde. Obrigado,  Qualquer dúvida estamos à disposição."
965,,Não consigo fazer o depósito Usando o cartão que vocês me enviou,"Bom dia, Lembre-se que o limite de depósito é ¥100,000 ienes por deposito, caso o valor seja maior poderá fazer depósitos seguidos. Certifique-se que está realizando a operação no ATM do correio ou no verde do FamilyMart. Limpe com um lencinho o cartão e se possível, tente realizar a operação em outro caixa eletrônico. Se mesmo assim não for possível realizar o depósito, gentileza nos solicitar outro cartão com a confirmação do seu endereço."
966,Consultas sobre prazos,Boa tarde Gostaria de tirar uma dúvida Se eu mandar dinheiro hj chegará no Brasil hj mesmo?,"Boa tarde, Em geral as remessas são pagas no mesmo dia, até o final do expediente bancário no Brasil."
967,,Tenho o cartão Brastel....mas não estou conseguindo depositar.,O ATM da conveniência que o senhor está realizando o depósito é o ATM de cor verde?
968,Consultas e informações gerais,Oi como fazer pra enviar dinheiro pra o destinario no Brasil,"Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você terá independência para fazer a remessa por conta própria e a qualquer horário https://brastelremit.jp/por/24h  "
969,,"Boa tarde minha remessa realiza ontem ainda não caiu na minha conta,porq?","O atraso no pagamento da remessa pode acontecer devido a instabilidade no sistema de pagamento no Brasil, ou pelos dados bancários incorretos. Estamos verificando com o banco pagador no Brasil em relação a sua remessa que ainda não foi paga ao beneficiário. Devido ao fuso horário, pedimos por gentileza que aguarde. Agradecemos a sua compreensão."
970,Consultas e informações gerais,Como enviar dinheiro do Japão?,"Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você terá independência para fazer a remessa por conta própria e a qualquer horário https://brastelremit.jp/por/24h  "
971,Consultas e informações gerais,Como posso me inscrever no serviço de remessa?,"Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você terá independência para fazer a remessa por conta própria e a qualquer horário https://brastelremit.jp/por/24h  "
972,,Faz mais de um dia qie fiz uma remessa e o dinheiro ainda não caiu na minha conta!,"Bom dia, Thiago! C#6149173  Não recebemos a confirmação do banco.  Vamos enviar um pedido de verificação. Devido ao fuso horário, pedimos por gentileza que aguarde. Obrigado.    "
973,,Bom dia Ja atualizei meu zaryu card no aplicativo Por favor verificar  Atenciosamente,A sua conta esta ativa. Qualquer dúvida estamos à disposição.  Obrigado
974,Consultas sobre prazos,Qual o tempo de chegada prevista,"A maioria dos pagamentos estão sendo feitos via PIX. Os pagamentos feitos via PIX, geralmente são pagos no mesmo dia do envio da remessa, porém quando o PIX não for possível, o banco vai pagar via TED que nesse caso somente durtante o expediente bancário no Brasil."
975,,          ,O seu cadastro foi atualizado com sucesso! Agora o Sr. já pode enviar remessas.  Qualquer dúvida estamos à disposição. Obrigado!
976,,     ,"Boa tarde, seu cadastro foi atualizado. Qualquer dúvida estamos à disposição. Obrigado."
977,Gerenciamento de cadastro e documentos,Gostaria de saber se consigo incluir um beneficiário que t conta num banco digital Nubank,"Boa tarde! Sim, é possível, também trabalhamos com contas digitais. É só registrar o número da conta do beneficiário no aplicativo e a agência (para bancos digitais normalmente é 0001)"
978,,Boa tarde Enviei uma remessa para o Brasil dia 25/05 e até agora esse dinheiro não caiu na conta destinada    ,"O atraso no pagamento da remessa pode acontecer devido a instabilidade no sistema de pagamento no Brasil, ou pelos dados bancários incorretos. Já estamos verificando com o banco pagador no Brasil em relação a sua remessa que ainda não foi pago ao beneficiário. Devido ao fuso horário e horário de atendimento bancário no Brasil, pedimos por gentileza que aguarde. Agradecemos a sua compreensão.  "
979,,        ,"Seu cadastro foi estendido e está apto a enviar remessas. Quando chegar o novo Zairyu Card, por gentileza registre-o em seu app."
980,,Eu enviei dinheiro antes de ontem e até agora não caiu na conta do Brasil,"O atraso no pagamento da remessa pode acontecer devido a instabilidade no sistema de pagamento no Brasil ou pelos dados bancários incorretos. Vamos verificar com o banco pagador no Brasil em relação a sua remessa que ainda não foi pago ao beneficiário. Devido ao fuso horário, pedimos por gentileza que aguarde. Agradecemos a sua compreensão."
981,Consultas e informações gerais,Bom dia... não estou conseguindo acesso no aplicativo... senha não funciona....nome de usuário não funciona.,"Bom dia, A senhora tentou acessar o cadastro com o usuário e senha temporário enviado ontem para o e-mail: xxxxxx@sss.com"
982,Cartões e solicitações,Quero trocar o cartão laranja pelo verde como faço ?,Você poderia confirmar seu endereço para enviar um novo cartão?
983,,Oi vi aqui que ainda nao caiu minha remessa efetuada dia 24 Aconteceu algo  ,"Bom dia, A remessa está pendente devido aos dados estarem incorretos. Por favor, a senhora poderia conferir os dados bancários, e entrar em contato com a brastel, para correção?"
984,,"Olá td bem ? Pode me informar se está tudo certo com a última remessa que fiz ? Pois normalmente o destinatário recebe em poucas horas e dessa vez , me chamou dizendo que ainda não recebeu !","Olá, !  Vamos enviar um pedido de verificação. Devido ao fuso horário, pedimos por gentileza que aguarde. Obrigado."
985,,Boa tarde Estou enviando a foto do meu cartao de registro de estrangeiros card novo para atualização de cadastro obrigado           ,"Obrigado por enviar, vamos atualizar o seu cadastro."
986,Cartões e solicitações,Boa tarde Eu perdi meu cartão verde para remessa....e gostaria de outro Como faço para pedir de novo  ,"Boa tarde, Para podemos prosseguir com o envio do cartão, por favor, poderia confirmar o endereço?"
987,Consultas e informações gerais,Como enviar dinheiro do Japão?,"Boa tarde!  Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você terá independência para fazer a remessa por conta própria e a qualquer horário https://brastelremit.jp/por/24h"
988,,A remessa q fiz no dia 25 está pendente eu não tenho foto do cartão posso trocar o nome do beneficiário? A conta será a msm  ,"Boa tarde, O banco informou que ficou pendente por dados divergentes."
989,Cartões e solicitações,Oi minha conta antiga foi perdida por conta de eu nao ter acessado por 2 anos . E ai eu apaguei a conta e fiz outra mas não recebi o cartao ainda,"Não há solicitação de cartões O pedido dos cartões devem ser feitos através do aplicativo.  Por favor, poderia acessar Menu > Minha conta > Cartão e código de depósito para fazer o pedido?"
990,,"Bom dia!! Fiz um deposito na conta da caixa econômica no Brasil , mas o dinheiro não entrou qual o problema","O atraso no pagamento da remessa pode acontecer devido a instabilidade no sistema de pagamento no Brasil. Vamos verificar com o banco pagador no Brasil em relação a sua remessa que ainda não foi pago ao beneficiário. Devido ao fuso horário, pedimos por gentileza que aguarde. Agradecemos a sua compreensão."
991,Cartões e solicitações,Fiz minha inscrição on-line e agora estou aguardando o cartão remessa. No ato da inscrição não foi pedido o endereço atual. Mesmo assim vou receber o cartão em casa?,"Boa tarde, Para podemos prosseguir com o envio do cartão, por favor, poderia confirmar o endereço?"
992,,"Bom dia Estou com visto de um Mes,e precisar embora dinheiro pro Brasil Preciso enviar dinheiro hi,pra manutencao familiar","Bom dia A sua conta está inativa,porque o zairyu card registrado expirou. No aplicativo clique em ->Minha conta ->Perfil ->Atualizar documento E envie as imagens frente e verso do seu zairyu card pelo aplicativo. Por favor, primeiro precisamos ativar sua conta."
993,,Bom dia Fiz uma remessa mais ainda não foi processada Geralmente e rápido nem o email de confirmação chegou ainda,"Bom dia, C#3007291  Não recebemos a confirmação do banco.  Vamos enviar um pedido de verificação. Devido ao fuso horário, a resposta não será imediata. Pedimos por gentileza que aguarde. Obrigado."
994,Problemas e suporte,"Bom dia, ontem eu recebi a notificação novamente que a remessa estava pendente e vi que o problema era porque eu coloquei o CPF errado, eu gostaria de cancelar a remessa pra mim reenviar novamente","Olá, !  Iremos solicitar o cancelamento. Porém, devido ao fuso horário e o horário de expediente bancário no Brasil, o cancelamento não será imediato.  Qualquer dúvida estamos à disposição. Obrigado."
995,Problemas e suporte,Pode cancelar a última remessa por favor,"Bom dia, Vamos enviar o pedido de cancelamento da última remessa que está pendente ao banco, pois os dados bancários estão incorretos Antes de reenviar uma remessa a este beneficiário, por favor corrigir os dados."
996,,Bom dia Estava falando com vocês pelo aplicativo Fiquei de mandar foto do zyrio pra recuperar minha conta      ,"Por favor, aguarde um momento.  Os dados de e-mail foram atualizados e um usuário e senha temporário foram enviados ao seu e-mail, tente logar por favor."
997,,Eu queria saber se eu posso depositar no cartão verde pelo atm do combine. Pq do correio disse que não pode depositar esse horário.,"Pode ser pelo combine sim! Mas precisa ser o ATM verde, ok? Tem o passo a passo com as instruções para depositar no kombini também:  Menu -> Instruções de depósito -> Cartão de depósito yucho -> ATM compacto do Japan Post Bank"
998,Consultas sobre prazos,Quanto tempo levará para o beneficiário receber o dinheiro?,"Boa tarde,  A maioria das remessas da Brastel para o Brasil estão sendo realizadas via PIX. Assim, estão sendo pagas dentro de alguns minutos, se todos os dados estiverem corretos e a conta estiver apta a receber pagamentos via PIX. Qualquer dúvida estamos à disposição. Obrigado."
999,Consultas e informações gerais,Como enviar dinheiro do Japão?,"Bom dia!  Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você terá independência para fazer a remessa por conta própria e a qualquer horário https://brastelremit.jp/por/24h"
1000,,"Bom dia,tudo bem!? fiz uma remessa dia 27 pra minha filha e até agora ainda não caiu na conta dela,posso ter o dinheiro de volta!??","Bom dia, C#5638010  A sua remessa está em processamento. Os pagamentos são na mesma hora, pode ter havido alguma instabilidade no sistema.  Vamos enviar um pedido de verificação. Devido ao fuso horário, pedimos por gentileza que aguarde. Obrigado."
1001,,"Bom dia,dia 27/05 fiz uma remessa para o banco itau e ainda não recebeu sendo que foi confirmado a remessa Eu verifiquei nas remessas e ainda não consta que foi pago","Bom dia, !  A sua remessa está em processamento. Os pagamentos são na mesma hora, pode ter havido alguma instabilidade no sistema.  Vamos enviar um pedido de verificação. Devido ao fuso horário, pedimos por gentileza que aguarde. Obrigado,"
1002,Consultas e informações gerais,Bom dia! Vcs enviam dinheiro para Austrália? Qto tempo leva?,"Bom dia,  C#1044491  Sim, também enviamos para Austrália.  - Prazo de entrega aproximado por depósito em conta bancária: 1 a 3 dias úteis.  Click no link para informações adicionais sobre os países além do Brasil: https://brastelremit.jp/por/fees Qualquer dúvida estamos à disposição. Obrigado."
1003,Problemas e suporte,"Ola Enviei dinheiro para minha cunhada para o paraguai . Ela nao está conseguindo sacar o dinheiro . Por motivo que ela escreveu 2 vezes o sobrenome dela ROJAS … no banco Familiar pediram para eu arrumar o sobrenome dela, para ela poder receber o dinheiro .  ","Bom dia Você precisa solicitar o cancelamento do envio e o valor será devolvido ao seu aplicativo.  Assim que o valor retornar para seu app, você edita os dados do seu beneficiário e envia novamente a remessa. Por favor, podemos solicitar o cancelamento?"
1004,,Boa tarde. Enviei uma quantia dia 29/05/2024 às 15h30 e não caiu ainda,"Boa tarde A sua remessa esta processando. Enviamos uma mensagem ao nosso correspondente no Brasil, para verificar se houve algum problema no pagamento. Por favor, aguarde. Qualquer dúvida estamos à disposição.  Obrigada."
1005,Cartões e solicitações,Olá. Gostaria de fazer pedido de um novo cartão verde. Pois eu perdi o meu.,"Boa tarde, A senhora continua no endereço abaixo: Postal Code xxx-xxx Prefecture ZZZ-KEN City / Ward DDDD-SHI Area AAAA Number x-4 Complement ZZZZZ NNN"
1006,,Boa tarde como faço para fazer a mudança de endereço?,A senhora pode trocar pelo próprio app da Brastel: Menu -> Minha conta -> Perfil -> Editar endereço
1007,Consultas sobre prazos,Bom dia Consegui fazer depósito sem o cartão que ainda não chegou fiz o pedido na terça feira agora Tem previsão de quando chegara o cartão,Boa noite O sr solicitou dia 28. Será entregue em até 4 dias úteis contando a partir do dia seguinte da solicitação. O prazo é até segunda feira
1008,Problemas e suporte,"Boa noite,a beneficiária me avisou que a conta que está errado,e pedi para me confirmar sendo que me enviou o número errado por favor como faço Estou conversando com a pessoa infelizmente não está admitindo que o erro foi dela e estamos cancelando e tem como retornar essa remessa para mim ","Sim, podemos cancelar O valor voltará no seu saldo da Brastel"
1009,Problemas e suporte,"Boa noite Eu fiz um depósito errado, era pra depositar na conta do meu marido,eu fiz o depósito na minha conta da brastel,mas não fiz a transferência pro Brasil será que tem como eu retirar esse dinheiro no banco japonês  ","É possível solicitar o reembolso diretamente do app. Atente para a regra de que deverá requisitar o valor total do saldo do seu app. Será cobrada uma taxa fixa de 750 e somente serão aceitas contas de bancos japoneses. Para tanto, click: Menu > Minha conta > Reembolso e siga as instruções. Tenha em mãos a sua caderneta bancária. Qualquer dúvida estamos à disposição."
1010,,"Ola, recebi uma ligação da central de vocês em Tokyo avisando que o depósito que fiz está bloqueado por motivo de um erro no dígito da conta do beneficiário! Como devo proceder para concluir a remessa? Agradeço resposta!","Enviamos a correção ao nosso correspondente do Brasil. Por favor, poderia corrigir os dados bancários no aplicativo para evitar atrasos nos próximos envios. Qualquer dúvida estamos à disposição.  Obrigado."
1011,Consultas e informações gerais,Como posso me inscrever no serviço de remessa?,"Para se inscrever no serviço de remessa, por favor, baixe o aplicativo Brastel Remit e registre todos os dados solicitados. Assim vamos validar sua inscrição e você já poderá registrar os seus beneficiários. Com o app Brastel Remit você terá independência para fazer a remessa por conta própria e a qualquer horário https://brastelremit.jp/por/24h"
1012,Consultas e informações gerais,Então desculpa eu estar mandando esse mensagem para vocês essa hora do dia que eu tô saindo agora do meu trabalho essa daí é a nova conta da minha filha tá aí vocês pode fazer o pique se peça a conta nova dela é que aquela velha lá não existe mais é essa nova agora aí tá bom muito obrigado desculpa qualquer coisa,"Vamos enviar a correção dos dados bancários para o banco. Por favor, poderia acessar o seu cadastro online e corrigir os dados para não ter mais problemas nas próximas remessas? https://brastelremit.jp/por/sign_in"
1013,,"Desculpa. Consegui redefinir a senha , mas agora não consigo fazer a leitura do chip do zayrio card Não tem um modo mais fácil?","Caso não possua NFC no celular, deverá ser tirada foto da frente e verso do documento de identidade, selfie---> Temos um vídeo ensinando https://www.youtube.com/watch?v=tc8yeWvQdlw&t=143s"
1014,,Acabei de ligar pra vcs e informei que fiz um depósito só que o dinheiro não caiu na minha conta usando aqueles cartão que vcs mandam junto cm o informativo,"Bom dia, poderia confirmar seu nome completo e data de nascimento? Iremos enviar o comprovante ao departamento responsável para incluir em seu saldo."
1015,,Recebi o APP mas ele não abre a CAMERA para tirar a foto. Os enviados anteriormente abria a Camera e fornecia a imagem à frente,"Bom dia, Por favor, poderia verificar nas configurações do seu celular se está habilitado para o app da Brastel ter acesso à câmera do celular? Caso não conseguir, poderia enviar as fotos frente e verso do documento aqui por este chat? Obrigada."
1016,Cartões e solicitações,Quero saber se o cartão já foi enviado. Pois não recebi,"Bom dia, o cartão foi enviado ao endereço cadastrado. [[endereco]]"
1017,,Preciso do meu saque lanosos trader e preciso po por favor preciso do meu saque Remit cadê,"Bom dia [[nome cliente]] Sua remessa já foi enviada, poderia verificar em sua conta? Caso não tenha recebido, por favor, nos envie o extrato bancário com a data correspondente ao envio da remessa, para verificarmos."
1018,,Moro em Shimane Ken Izumo Shi. Qual Family Mart eu consigo fazer depósito?,"As maquinas de ATM que estão no Famiy Mart nem todas são do Correio e não são todos os Family Mart que tem este ATM verde do correio, está em algumas lojas de conveniência do Family Mart."
1019,,Bom dia por vez qual é o limite de depósito consigo aumentar esse limite?tentei colocar 200000 mas não foi possível tem horário para fazer o depósito? obrigado,Bom dia! O cartão de depósito Yucho (verde) tem um limite de até 100.000 ienes por depósito nos ATMs do correio. Você pode solicitar o cartão Brastel Remit (laranja) que pode depositar até 1.000.000 ienes. O pedido desse cartão deve ser feito através do app. Nota: as taxas de depósito descontadas pelo correio são diferentes do cartão verde.
1020,,Bom dia Ainda não consegui tirar a foto do rosto que pedem Para pode autenticar o aplicativo,Bom dia [[nome cliente]]  Verifique a conexão com a internet ao tirar a foto e deixe-a bem nítida.
1021,,Olá tudo bem ? Estarei enviando os dados do meu banco para poder confirmar novamente o envio pendente Ag- [[codigo agencia]] cc- [[conta banco]],"Bom dia, Vamos enviar a correção para o banco fazer o pagamento da sua remessa. Favor corrigir no app para não ter problemas nas próximas remessas."
1022,Problemas e suporte,cancelar a remessa,"Conforme explicado por telefone, iremos cancelar a sua remessa e o valor sera estornado para o seu app. É possível solicitar o reembolso diretamente do app. Atente para a regra de que deverá requisitar o valor total do saldo do seu app. Será cobrada uma taxa fixa de 750 e somente serão aceitas contas de bancos japoneses. Para tanto, click: Menu > Minha conta > Reembolso e siga as instruções. Tenha em mãos a sua caderneta bancária. Qualquer dúvida estamos à disposição."
1023,Cartões e solicitações,Olá eu iniciando o uso do cartão laranja posso continuar usando o cartão verde? Quanto tempo depois de solicitar o cartão laranja chega em minha residência?,"Boa tarde [[nome cliente]], Entre 3 a 4 dias úteis a entrega do cartão. Para solicitar pelo aplicativo o cartão Brastel (laranja) com o valor máximo por deposito de até 1.000.000.  Clicando em menu>Instruções de depósito> saiba mais e solicite."
1024,,Boa tarde eu já arrumei o numero da conta ! por favor depositar o dinheiro!,"Boa tarde [[nome cliente]], A correção já foi enviada ao nosso correspondente no Brasil e estamos aguardando o pagamento. Por favor, aguarde."
1025,,"So uma pergunta, pelo recibo do depósito, e reconhecido pelo meu nome ou tem um numero do meu cadastro? Eu sempre enviei pela minha conta no correio, essa foi a primeira vez que fiz pelo caixa no balcão","É pelo nome do cliente. Confirme com o banco o que pode ter ocorrido, em seguida entre em contato conosco, qualquer dúvida estamos a disposicao"
1026,,Oi boa tarde eu mandei o número da conta nova da minha filha para fazer um piercing de um dinheiro que eu mandei para o Brasil que já vai para duas semanas já dando problema e porque pela conta velha dela que eu mandei não funciona mais abrir outra conta para ela eu mandei hoje quando eu sair do trabalho o número da conta nova dela então eu gostaria que vocês fizesse o pique-se para mim porque o dinheiro que eu mandei uma remessa de 100 mil e outra de 20 mil é para pagar umas contas lá no Brasil porque se não fizeram pizza então eu queria que fizesse a devolução do dinheiro para mim obrigado eu agradeço Aí tão pedindo para mim colocar o meu nome de novo e o é nome de usuário e senha como assim número de usuário e senha eu queria que você me explicasse melhor porque eu já tenho cadastro aí e a minha filha também já tem cadastro aí,"Esta manhã enviamos para nosso correspondente do Brasil para redirecionar as remessas para nova conta da beneficiária. Caso tenha dificuldade para acessar a sua conta da Brastel, podemos enviar uma senha temporária para seu email."
1027,,Moça deixa eu falar mais uma coisa que a minha irmã mandou eu perguntar a minha irmã perdeu o cartão dela de mandar dinheiro para o Brasil que o dela é online né ela deposita no banco aí depois ela faz vem confirma no celular dela aí ela perdeu esse cartão ela vocês manda outro para ela como é que faz,"Por favor, peça para ela entrar em contato conosco, pois precisamos confirmar os dados com ela."
1028,,"O meu cadastro Por exemplo Da ultima vez que fiz uma remessa , dois dias depois ia vencer o zaryu , ae ficou bloqueado meu cadastro Não usei mais para remessas , e vou precisar usar , gostaria de saber como funciona","Verificamos o seu cadastro, e está temporariamente bloqueada. Por gentileza, poderia nos enviar o seu zairyu card atualizado? Assim podemos atualizar"
1029,Consultas e informações gerais,Como faz tempo que utilizei como fazer quando esquece senha email cadastrado nele?,enviaremos o seu usuário e uma senha temporária por SMS no seu telefone  [[telefone cadastrado]]
1030,,"Eu trouxe reais do Brasil Eu consigo depositar na minha conta? Tipo,reais para reais mesmo Ou saber se vocês trocam E qual o valor","Nós não trocamos, apenas recebemos em ienes o valor do depósito do banco. Acredito que os bancos do Japão também recebam apenas em ienes. Com uma rápida pesquisa no Google, verifiquei que há unidades do Banco do Brasil no Japão. Talvez eles recebam, mas seria necessário ligar lá para confirmar."
1031,,"Ola [[nome atendente]]! Muito obrigada pelo pronto atendimento que deram! Foi esclarecido e a confusão foi da parte deles, muito obrigada pela compreensão e pelo esclarecimento eu indiquei o serviço de vocês pra ela! Precisaram embarcar logo e já estão para retornar como não tinha costume de utilizar o serviço me perguntou muitas vezes como fazia para fazer as remessas , ela é uma jovem senhora e não tem muita facilidade para aprender, mas deu tudo certo! Muito obrigada pelo ótimo atendimento e serviço que prestam sempre que eu puder recomendarei ","Boa tarde! Obrigado pelo feedback, ficamos felizes em saber que a sua experiência conosco foi positiva.  Caso houver algo mais em que possamos ajudar, estaremos à disposição"
1032,Consultas sobre prazos,Olá boa tarde o pagamento será efetuado hoje?,"Boa tarde Se não houver problemas no pagamento e se todos os dados bancários estiverem corretos, sim"
